DISTRICT,COMMUNITY,ID,DATE,Occupation 1,Occupation 2,Occupation 3,Roles_A,Roles_B,"Years of farming
 (yrs)","Education_level 
(grade)",Gender,"Farm size
(acres)",Actual farm size (acres),Number of farms,Terms of land right 1,Terms of land right 2,Terms of land right 3,Comment,
10,30,14,25.05.23,Cocoa farmer,,,,,>30,No formal education,F,5-10,7,2,Landowner,,,Family,
10,30,15,25.05.23,Cocoa farmer,Staple food trader,Caretaker,,,>30,Junior high,M,5-10,6,4,Abunu,Abusa,,Labourer,
10,30,16,25.05.23,Cocoa farmer,,,,,21-30,Primary,M,11-20,11,3,Landowner,,,,
10,30,17,25.05.23,Cocoa farmer,Staple food trader,,,,11-20,Junior high,F,5-10,9,2,Landowner,,,,
10,30,18,26.05.23,Cocoa farmer,Staple food trader,,,Purchasing clerk,21-30,Junior high,F,>30,35,4,Landowner,Abunu,Purchase,bought,
10,30,19,26.05.23,Caretaker,,,,,< 5,No formal education,F,5-10,12,1,Abusa,,,,
10,30,20,26.05.23,Caretaker,,,,,< 5,Primary,M,5-10,5,2,Abusa,,,,
10,30,21,28.05.23,Cocoa farmer,,,,,>30,Primary,F,5-10,10,3,Landowner,Abunu,,Granparents,
10,30,22,28.05.23,Cocoa farmer,Staple food trader,,,,11-20,Junior high,F,< 5,4,1,Landowner,,,Parent,
10,30,23,28.05.23,Cocoa farmer,Staple food trader,,,Labourer,< 5,No formal education,F,11-20,12,3,Abunu,,,,
10,30,24,28.05.23,Cocoa farmer,Staple food trader,,,,>30,Primary,F,11-20,15,4,Landowner,,,Parent,
10,30,25,29.05.23,Cocoa farmer,,,,Purchasing clerk,11-20,Junior high,M,21-30,30,11,Landowner,,,Bought / family,
10,30,26,29.05.23,Cocoa farmer,Palm wine seller,,,,>30,No formal education,M,5-10,8.5,1,Abunu,,,,
10,30,27,29.05.23,Cocoa farmer,Staple food trader,,,MPP Chairman,>30,Junior high,M,5-10,10,2,Landowner,,,,
10,30,28,30.05.23,Cocoa farmer,,,,,5-10,Primary,F,5-10,10,2,Landowner,Press,,,
10,30,29,30.05.23,Cocoa farmer,Staple food trader,,,Chief Farmer,21-30,Secondary,M,>30,36.75,2,Landowner,Abunu,,,
10,30,30,30.05.23,Cocoa farmer,Staple food trader,,,,>30,Primary,M,>30,40,4,Landowner,Abunu,,,
10,30,31,30.05.23,Caretaker,Staple food trader,,,,11-20,No formal education,F,5-10,7,1,Abusa,Abunu,,,
10,30,32,31.05.23,Caretaker,,,,,< 5,Junior high,M,>30,45,3,Abusa,,,used to be a mass sprayer,
10,30,33,31.05.23,Caretaker,,,,,< 5,No formal education,F,< 5,1.3,2,Abusa,,,Farm owner who is abusa now,
10,30,34,31.05.23,Cocoa farmer,,Caretaker,,,11-20,Junior high,M,5-10,6.7,1,Landowner,Abusa,,,
10,30,35,01.06.23,Cocoa farmer,,Caretaker,,,11-20,Junior high,M,5-10,9,1,Abusa,Abunu,,,
50,50,01,11.06.23,Cocoa Farmer,,,,Purchasing clerk,5-10,Secondary,M,11-20,12,1,Landowner,,,,
50,50,02,11.06.23,Cocoa Farmer,,,,,11-20,No formal education,M,11-20,13,2,Abunu,,,,
50,50,03,11.06.23,Cocoa Farmer,Staple food trader,Petty trader,,,5-10,Junior high,F,< 5,4.5,1,Landowner,,,,
50,50,04,11.06.23,Cocoa Farmer,Staple food trader,Livestock farmer,,Livestock farmer,21-30,No formal education,M,21-30,28,1,Abunu,,,,
50,50,05,12.06.23,Cocoa Farmer,Staple food trader,,,Galamsey,11-20,Junior high,M,11-20,14,1,Landowner,,,"Group of farmers spoke, Works with brothers and work as galamsey personnel",
50,50,06,12.06.23,Cocoa Farmer,Oil palm trader,Staple food trader,,,11-20,Tertiary,M,5-10,8,2,Abunu,Landowner,,,
50,50,07,12.06.23,Cocoa Farmer,Staple food trader,,,Queen ,>30,Tertiary,F,11-20,13,2,Landowner,,,one farm is at nyinahin,
50,50,08,12.06.23,Cocoa Farmer,Oil palm trader,,,,11-20,Junior high,M,5-10,8,2,Abunu,,,,
50,50,09,12.06.23,Cocoa Farmer,Oil palm trader,,,,5-10,Secondary,M,5-10,7,1,Abunu,,,,
50,50,10,13.06.23,Cocoa Farmer,,,,Purchasing clerk,11-20,Tertiary,F,5-10,7,1,Landowner,,,more of an actor,
50,50,11,13.06.23,Cocoa Farmer,Staple food trader,,,,11-20,Junior high,F,5-10,10,2,Abunu,Landowner,,4 acres for owner as press,
50,50,12,13.06.23,Cocoa Farmer,Staple food trader,,,,11-20,No formal education,F,< 5,3,1,Abunu,,,,
50,50,13,13.06.23,Cocoa Farmer,Basket weaver,,,,5-10,Secondary,M,5-10,7,1,Landowner,,,,
50,50,14,13.06.23,Caretaker,Galamsey,,,,< 5,Primary,M,5-10,6,1,Abusa,,,Father's land,
50,50,15,13.06.23,Cocoa Farmer,,,,,21-30,No formal education,M,21-30,26,3,Abunu,,,,
50,50,16,13.06.23,Cocoa Farmer,,,,,11-20,No formal education,M,5-10,6,2,Landowner,,,Bought land,
50,50,17,13.06.23,Cocoa farmer,,,,,11-20,Primary,M,21-30,22,1,Abunu,,,,
50,50,18,13.06.23,Cocoa farmer,Staple food trader,,,,5-10,Junior high,M,5-10,6,1,Landowner,,,From father,
50,50,19,13.06.23,Cocoa farmer,Transporter,,,,5-11,Tertiary,M,>30,4,1,Landowner,,,From father,
50,50,20,14.06.23,Cocoa farmer,Livestock farmer,,,,11-20,Junior high,M,5-10,8.5,1,Abunu,,,,
50,60,01,18.06.23,Cocoa farmer,,,Agrochemical seller,Purchasing clerk,5-10,Secondary,M,< 5,2,1,Landowner,,,Bought,
50,60,02,18.06.23,Cocoa farmer,,,,Traditional leader (Chief),>30,Junior high,M,11-20,13,1,Landowner,,,Family,
50,60,03,18.06.23,Cocoa farmer,Staple food trader,,,,11-20,Junior high,F,5-10,6,2,Press,,,,
50,60,04,18.06.23,Cocoa farmer,,,,,< 5,Primary,F,5-10,10,1,Abunu,,,,
50,60,05,18.06.23,Cocoa farmer,,,,,11-20,Junior high,F,< 5,2,1,Abunu,,,Sold to galamsey with issues,
50,60,06,18.06.23,Cocoa farmer,Staple food trader,,Galamsey security man,Chairman of District Assembly committee,11-20,Junior high,M,11-20,12,1,Landowner,,,,
50,60,07,18.06.23,Cocoa farmer,Livestock farmer,,,,21-30,Junior high,M,21-30,25,3,Abunu,,,,
50,60,08,18.06.23,Cocoa farmer,Motorcycle rider,,,Mass sprayer,5-10,Junior high,M,5-10,8,1,Landowner,,,Family,
50,60,09,18.06.23,Cocoa farmer,Galamsey,,,Mass sprayer,5-10,Junior high,M,< 5,3.5,1,Landowner,,,Family,
50,60,10,19.06.23,Cocoa farmer,,,,,5-10,Secondary,M,< 5,3,1,Landowner,,,Family,Has acquired more land in another region
50,60,11,19.06.23,Caretaker,Staple food trader,,,,>30,No formal education,M,>30,60,2,Abusa,Abunu,,,
50,60,12,20.06.23,Caretaker,Staple food trader,,,,5-10,Primary,F,5-10,14,2,Abusa,Landowner,,4 acres as family land. Husband deserted the family,
50,60,13,20.06.23,Caretaker,Staple food trader,,,,11-20,Primary,F,5-10,6,2,Abusa,,Press,,
50,60,14,20.06.23,Cocoa farmer,Staple food trader,,,Chief Farmer,21-30,Junior high,M,>30,44,2,Abunu,,,,
50,60,15,20.06.23,Caretaker,,,,,5-10,Junior high,M,< 5,4,1,Abusa,,,Family,
50,60,16,20.06.23,Caretaker,Constructor,,,,5-10,No formal education,M,5-10,5,1,Abusa,,,Family,
50,60,17,20.06.23,Cocoa farmer,Staple food trader,,,,5-10,Junior high,M,5-10,5,1,Landowner,,,Family,
50,60,18,20.06.23,Caretaker,Staple food trader,,,,>30,Junior high,M,< 5,4,1,Abusa,,,Family,
50,60,19,20.06.23,Caretaker,Staple food trader,,,,< 5,No formal education,M,5-10,6,1,Abusa,,,From north,
50,60,20,20.06.23,Caretaker,Staple food trader,,,,>30,Junior high,M,>30,40,1,Abusa,,,Family,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
